YEAR,PSP,SITE,LAYER,C_STOCKS,UTMX,UTMY,STAND_AGE,BASAL_AREA,DOM_HEIGHT,SPECIES_RICHNESS,SHANNON_INDEX,GAP_FRACTION,CANOPY_COVER,ELEVATION,SLOPE,ASPECT,CONDITION,LAYER_NUM,CON_NUM
2013,9,3,L,3.202428698,541957.5235,2279549.56,0,3.110255267,22.5,1,0,99.827705,0.172295,2038.5,16.25469971,141.951004,Managed,1,1
2013,9,4,FH,26.25244988,541879.1584,2279553.572,0,3.110255267,22.5,1,0,93.617772,6.382228,2048.959961,12.09599972,164.6889954,Managed,2,1
2013,10,2,FH,7.887316334,542172.21,2279616.053,19,35.41562559,20.73,2,0.104732439,7.761833,92.238167,2038.369995,16.79439926,288.8739929,Managed,2,1
2013,8,4,L,1.523927989,542631.1271,2279807.222,15,34.43335045,16.785,7,1.436145537,2.231239,97.768761,2063.320068,3.601099968,318.144989,Managed,1,1
2013,19,3,L,1.598225383,542460.1606,2279051.688,15,21.40276348,14.74,5,0.687024761,5.365334,94.634666,2015.449951,12.1967001,244.6900024,Managed,1,1
2013,29,1,FH,7.889520697,542042,2280352,26,31.92788917,24.082,5,0.499030317,18.37429,81.62571,2039.839966,15.87119961,48.52640152,Managed,2,1
2013,40,4,FH,3.231002255,541399.7451,2279528.64,5,6.580151103,5.76,1,0,44.483845,55.516155,2069.389893,6.970099926,196.2709961,Managed,2,1
2013,6,1,L,2.143115828,542175.9553,2279827.775,25,20.70067832,21.15,7,0.728805322,22.804314,77.195686,2051.22998,7.194600105,187.6909943,Managed,1,1
2013,40,4,L,1.08819914,541399.7451,2279528.64,5,6.580151103,5.76,1,0,44.483845,55.516155,2069.389893,6.970099926,196.2709961,Managed,1,1
2013,31,1,L,1.869287775,542296.5836,2279690.711,20,35.46311837,22.4,5,0.931382818,2.611275,97.388725,2052.419922,9.489700317,257.5589905,Managed,1,1
2013,2,4,FH,12.62567811,542258.4255,2280433.57,25,25.10943454,22.12,5,0.847049069,73.717499,26.282501,2016.150024,10.63549995,290.0299988,Managed,2,1
2013,16,1,FH,4.286179583,542667.9689,2279327.447,4,4.88997904,10.3,5,0.999067748,68.826071,31.173929,2014.099976,11.94999981,36.4178009,Managed,2,1
2013,13,1,FH,9.112476009,541914.8537,2279318.375,19,21.23189119,20.35,5,0.891427691,7.888046,92.111954,2019.089966,5.627900124,248.1380005,Managed,2,1
2013,32,3,L,2.309532262,542529,2279168,17,25.60265578,16.72,3,0.195462855,21.008789,78.991211,2029.48999,5.213600159,237.7389984,Managed,1,1
2013,11,3,FH,10.35737834,542462.3496,2279550.707,18,28.3855456,18.82,4,0.511028751,5.359726,94.640274,2064.379883,2.051500082,277.0859985,Managed,2,1
2013,5,4,L,2.285378068,541881.534,2279815.093,1,0.608212338,15.25,1,0,100,0,2077.919922,6.5050001140000004,103.0930023,Managed,1,1
2013,22,4,L,3.09364976,541256.9193,2278432.505,16,12.86495038,13.25,6,1.256755432,49.621624,50.378376,2026.77002,18.3743,218.8939972,Managed,1,1
2013,33,1,FH,12.73572051,542086.5368,2279206.138,16,27.68886275,16.24,5,0.576394002,4.709618,95.290382,2054.209961,2.330800056,329.4660034,Managed,2,1
2013,29,1,L,2.368676429,542042,2280352,26,31.92788917,24.082,5,0.499030317,18.37429,81.62571,2039.839966,15.87119961,48.52640152,Managed,1,1
2013,41,3,L,1.161652533,541968,2278692,80,2.085061027,5.6,2,0.135793959,59.930969,40.069031,2030.939941,10.24429989,90.69270325,Unmanaged,1,2
2013,7,1,FH,6.773055276,542414.5745,2279821.951,20,37.00101988,21.84,8,1.382330724,11.945229,88.054771,2053.560059,4.227300167,3.143100023,Managed,2,1
2013,33,2,L,2.44694585,542090.8991,2279253.737,16,32.87380256,17.57,4,0.328315995,35.626442,64.373558,2051.219971,8.651399612,268.473999,Managed,1,1
2013,5,1,FH,14.91674764,541927.22,2279830.47,1,1.757163457,33,1,0,99.821683,0.178317,2068.51001,13.89039993,79.11380005,Managed,2,1
2013,1,2,FH,13.51161049,541295.6542,2280497.82,29,21.27356523,22.84,9,1.974338585,9.065643,90.934357,2085,5.104199886,151.6560059,Managed,2,1
2013,2,3,L,1.636801375,542338.3535,2280428.015,22,15.17895833,18,2,0.693147181,11.866776,88.133224,2020.329956,9.30850029,325.0289917,Managed,1,1
2013,37,3,FH,3.57021742,541670,2279206,9,20.27832567,8.243333333,3,0.137952603,32.513474,67.486526,2025.890015,2.892499924,103.6669998,Managed,2,1
2013,33,4,FH,20.42863252,542046.7831,2279186.008,16,28.07113791,16.6,5,0.610916774,9.821793,90.178207,2050.570068,7.463799953,264.2349854,Managed,2,1
2013,17,3,L,1.567324583,541951.1904,2279034.927,14,18.51988504,16.92,5,0.87250621799999994,9.44088,90.55912,2015.589966,27.5855999,204.7369995,Managed,1,1
2013,33,3,L,2.419592105,542124.5322,2279179.007,16,26.7698956,15.43,6,0.573072388,8.090118,91.909882,2055.199951,1.824499965,67.7990036,Managed,1,1
2013,36,3,FH,20.45515246,542554,2278726,12,16.2966072,11.08,3,0.549308195,21.821556,78.178444,2001.900024,11.38759995,97.0707016,Managed,2,1
2013,7,2,FH,9.070689953,542404.9741,2279869.405,20,25.04696963,20.81,5,1.391932233,5.402931,94.597069,2050.5,4.041699886,29.13339996,Managed,2,1
2013,3,3,FH,10.92697292,543332.7603,2280423.223,17,23.61264235,18.04363636,3,0.575729514,21.696152,78.303848,2065.100098,3.419699907,287.1319885,Managed,2,1
2013,12,3,L,1.798079848,542706.5997,2279544.79,15,31.35676608,14.3,4,0.521657425,2.478836,97.521164,2063.090088,10.94299984,125.6790009,Managed,1,1
2013,22,4,FH,8.350995463,541256.9193,2278432.505,16,12.86495038,13.25,6,1.256755432,49.621624,50.378376,2026.77002,18.3743,218.8939972,Managed,2,1
2013,32,4,FH,14.43047768,542451,2279168,17,30.67902671,18.49,4,0.505738143,5.819901,94.180099,2018.390015,11.79269981,248.6380005,Managed,2,1
2013,4,1,L,1.588709947,541295.3921,2279450.545,2,5.771587932,7.1,2,0.184907399,97.740113,2.259887,2062.929932,2.724600077,194.9839935,Managed,1,1
2013,29,4,L,1.552688556,542008,2280320,26,28.99265904,25.04,4,0.589280064,10.644356,89.355644,2047.040039,14.00819969,38.46580124,Managed,1,1
2013,5,2,L,0.713245965,541923.85,2279870.13,1,0.608212338,15.25,1,0,92.482653,7.517347,2070.97998,17.68090057,145.503006,Managed,1,1
2013,23,4,FH,8.572774978,542255.8178,2278427.77,80,32.75279202,21.14,9,1.909648556,6.37149,93.62851,1987.27002,5.452300072,173.7669983,Unmanaged,2,2
2013,15,3,FH,4.603823152,542463.0325,2279278.016,17,16.75442672,17.6,3,0.437494957,21.296295,78.703705,2026.630005,15.3458004,227.6139984,Managed,2,1
2013,4,3,FH,13.35463632,541334.346,2279424.938,2,0.853650393,3.5,2,0.348832096,91.865578,8.134422,2061.909912,1.826699972,153.3959961,Managed,2,1
2013,19,2,FH,5.380932374,542437.1507,2279127.771,17,29.2452091,20.54,3,0.273573794,2.432281,97.567719,2013.689941,16.40559959,272.6659851,Managed,2,1
2013,35,2,FH,12.74759632,542082.9384,2279060.597,14,12.21203823,13.72222222,4,1.007853269,17.967148,82.032852,2045.209961,8.472900391,231.8220062,Managed,2,1
2013,16,4,L,2.202423654,542627.491,2279305.654,4,8.415093277,11.99,5,1.136615353,22.678185,77.321815,2022.579956,17.32559967,24.35560036,Managed,1,1
2013,15,2,FH,4.485233252,542421.8508,2279370.766,18,18.92845195,16.4,5,0.888953263,5.824562,94.175438,2041.73999,13.54930019,197.9680023,Managed,2,1
2013,22,3,FH,16.23268354,541327.0763,2278420.724,16,19.888294900000002,19.29,5,1.261071915,16.386246,83.613754,2014.160034,27.392299650000002,251.8619995,Managed,2,1
2013,8,4,FH,7.479242074,542631.1271,2279807.222,15,34.43335045,16.785,7,1.436145537,2.231239,97.768761,2063.320068,3.601099968,318.144989,Managed,2,1
2013,31,3,L,2.177303652,542340.0747,2279660.078,20,32.12600502,21.78857143,6,0.825035188,2.991325,97.008675,2057.530029,5.89139986,288.9710083,Managed,1,1
2013,19,3,FH,6.629116239,542460.1606,2279051.688,15,21.40276348,14.74,5,0.687024761,5.365334,94.634666,2015.449951,12.1967001,244.6900024,Managed,2,1
2013,30,4,L,2.643155888,542094,2279894,25,31.31174347,23.35,3,0.419555892,34.719711,65.280289,2059.840088,5.53550005,72.31359863,Managed,1,1
2013,38,2,L,1.168948492,541239,2279310,8,9.706206488,7.215,3,0.326442041,30.009682,69.990318,2058.050049,4.125400066,101.401001,Managed,1,1
2013,27,4,L,2.287717783,541668,2280161,28,35.22909352,25.44,8,1.635410674,4.426788,95.573212,2085.669922,1.716300011,217.7850037,Managed,1,1
2013,9,2,L,1.102809553,541929.2275,2279615.561,7,5.867781669,6.775,1,0,69.093767,30.906233,2055.469971,10.71549988,139.4109955,Managed,1,1
2013,21,4,L,2.738232014,543250.9979,2279432.401,15,32.76803726,17.44,9,0.680367581,8.765656,91.234344,1983.27002,28.09420013,258.4500122,Managed,1,1
2013,16,4,FH,7.647199494,542627.491,2279305.654,4,8.415093277,11.99,5,1.136615353,22.678185,77.321815,2022.579956,17.32559967,24.35560036,Managed,2,1
2013,10,4,L,1.303934238,542126.9331,2279554.739,19,32.57394843,19.97,3,0.314123026,9.724312,90.275688,2036.51001,14.70049953,296.2600098,Managed,1,1
2013,11,3,L,2.040548264,542462.3496,2279550.707,18,28.3855456,18.82,4,0.511028751,5.359726,94.640274,2064.379883,2.051500082,277.0859985,Managed,1,1
2013,23,3,L,1.810750982,542333.1686,2278414.794,80,31.69649039,22.62,8,1.714767522,5.599609,94.400391,1984.349976,4.73029995,133.2660065,Unmanaged,1,2
2013,18,3,FH,14.48451359,542206.5552,2279045.742,14,27.53574545,15.95,2,0.146144746,20.578964,79.421036,2043.23999,9.595899582,95.79329681,Managed,2,1
2013,7,2,L,1.562509654,542404.9741,2279869.405,20,25.04696963,20.81,5,1.391932233,5.402931,94.597069,2050.5,4.041699886,29.13339996,Managed,1,1
2013,10,1,FH,11.34115061,542171.8052,2279569.349,19,31.84708657,19.92375,4,0.56221069,13.460617,86.539383,2043.800049,11.36480045,307.79599,Managed,2,1
2013,25,1,FH,10.91167327,541745,2278549,31,19.15923798,11.85974359,5,0.823193398,23.04541,76.95459,2039.72998,21.96769905,273.8630066,Managed,2,1
2013,14,4,FH,14.20703591,542130.4734,2279304.079,19,26.49035243,19.44,6,1.205629495,3.005928,96.994072,2051.719971,5.463600159,317.3169861,Managed,2,1
2013,13,3,FH,7.969953072,541957.6316,2279295.351,19,27.33390924,19.35,4,0.8620111,4.293137,95.706863,2025.099976,14.27799988,284.5400085,Managed,2,1
2013,29,3,FH,7.5914984,542087,2280316,26,30.61872777,24.32,2,0.304636097,12.417435,87.582565,2037.849976,13.15569973,58.92179871,Managed,2,1
2013,34,1,L,2.061706499,542381,2278960,15,35.68649294,17.46,5,0.195035276,6.047821,93.952179,2015.550049,7.591199875,356.928009,Managed,1,1
2013,28,2,FH,17.49563396,541282,2279830,27,29.28438709,22.394,4,1.075501427,10.746162,89.253838,2091.870117,4.614099979,209.1860046,Managed,2,1
2013,24,3,FH,7.009462322,543292.8958,2278407.587,18,30.86479617,17.18,14,1.861866294,1.343285,98.656715,1941.420044,25.11709976,126.3040009,Managed,2,1
2013,3,1,L,1.871749897,543295.194,2280445.815,17,19.98450347,18.85633333,3,0.459747279,13.396416,86.603584,2062.47998,0.69749999,209.0319977,Managed,1,1
2013,26,3,FH,7.121615421,541451,2280229,30,26.08166772,25.04,11,2.108195284,0.948242,99.051758,2084.389893,3.124700069,347.7349854,Managed,2,1
2013,6,3,FH,11.26058585,542213.9402,2279804.407,20,37.05848498,21.85,4,0.898968699,2.456024,97.543976,2053.27002,11.64710045,220.4799957,Managed,2,1
2013,7,3,FH,14.29544858,542450.4659,2279802.563,80,21.82807249,16.0765508,8,1.648400914,7.250969,92.749031,2054.620117,4.390399933,314.2139893,Unmanaged,2,2
2013,23,2,L,1.15469332,542304.4293,2278490.088,80,22.54928039,18.13,11,1.868134423,3.887085,96.112915,1991.560059,6.904099941,170.2140045,Unmanaged,1,2
2013,31,4,FH,9.983737451,542261.9134,2279666.031,20,35.5434295,20.97,7,1.298024437,1.782326,98.217674,2046.939941,14.42990017,281.1239929,Managed,2,1
2013,35,4,FH,13.09149719,542037.1376,2278999.725,14,18.07681316,16.56,5,1.085605454,29.966072,70.033928,2030.97998,12.22379971,237.45199589999999,Managed,2,1
2013,30,3,L,3.142272485,542177,2279873,25,31.83030261,23.05,4,0.65759895,20.761559,79.238441,2055.669922,3.064699888,176.548996,Managed,1,1
2013,3,4,FH,8.682978001,543252.1848,2280437.405,17,20.41592534,19.11,2,0.398307114,17.533432,82.466568,2063.560059,2.002300024,156.6750031,Managed,2,1
2013,15,4,L,1.644172703,542380.7608,2279301.936,18,23.39214202,15.65,3,0.587090257,9.071732,90.928268,2039.449951,10.0642004,96.49639893,Managed,1,1
2013,15,1,L,1.551293189,542423.0351,2279313.884,18,22.23765032,19.44,6,1.17958906,4.147461,95.852539,2030.400024,10.74380016,128.4089966,Managed,1,1
2013,38,2,FH,7.70866012,541239,2279310,8,9.706206488,7.215,3,0.326442041,30.009682,69.990318,2058.050049,4.125400066,101.401001,Managed,2,1
2013,31,2,L,2.079430869,542305.1667,2279730.697,20,32.29106798,19.84378947,5,0.972425006,6.383583,93.616417,2055.459961,5.178599834,248.2100067,Managed,1,1
2013,22,1,FH,10.62754203,541294.9172,2278447.317,16,15.3894606,23.017,3,0.253067332,67.75,32.25,2016.310059,37.89820099,93.39379883,Managed,2,1
2013,14,2,FH,25.99787176,542176.3857,2279361.521,19,29.50036005,20.2,3,0.619920564,3.553101,96.446899,2052.560059,8.315299988,305.0490112,Managed,2,1
2013,34,4,L,1.619684592,542344,2278943,15,35.27344409,18.68,5,0.195035276,7.919746,92.080254,2017.079956,6.994900227,41.92699814,Managed,1,1
2013,41,3,FH,7.40158376,541968,2278692,80,2.085061027,5.6,2,0.135793959,59.930969,40.069031,2030.939941,10.24429989,90.69270325,Unmanaged,2,2
2013,22,2,L,2.804934667,541296.2575,2278496.015,3,0.3066984,4.316666667,3,0.173286795,99.474985,0.525015,2033.880005,18.61910057,154.3849945,Managed,1,1
2013,24,1,FH,12.6792552,543296.4319,2278451.09,80,44.81350102,24.70068493,10,1.215140445,12.579147,87.420853,1950.079956,26.06780052,139.6399994,Unmanaged,2,2
2013,1,3,L,2.457286666,541334.7038,2280421.221,30,26.88309435,23.7,12,2.136042392,10.371567,89.628433,2079.23999,4.691500187,124.3570023,Managed,1,1
2013,9,3,FH,11.58178627,541957.5235,2279549.56,0,3.110255267,22.5,1,0,99.827705,0.172295,2038.5,16.25469971,141.951004,Managed,2,1
2013,36,1,FH,3.732890422,542515,2278749,12,11.5930329,11.14,6,1.064301925,35.901848,64.098152,2008.75,9.727999687,85.11470032,Managed,2,1
2013,27,3,FH,10.35924235,541743,2280163,28,29.81575632,21.21,3,0.815849865,8.941483,91.058517,2089.610107,1.667999983,16.61179924,Managed,2,1
2013,38,4,FH,0,541200,2279243,8,7.290963535,7.7,2,0.099623389,40.767204,59.232796,2057.469971,4.117300034,208.3029938,Managed,2,1
2013,3,3,L,2.000837172,543332.7603,2280423.223,17,23.61264235,18.04363636,3,0.575729514,21.696152,78.303848,2065.100098,3.419699907,287.1319885,Managed,1,1
2013,7,4,L,1.921490821,542369.6994,2279808.891,20,42.04677935,21.33,6,1.130990229,2.578667,97.421333,2054.52002,4.918499947,7.941599846,Managed,1,1
2013,10,2,L,1.535269636,542172.21,2279616.053,19,35.41562559,20.73,2,0.104732439,7.761833,92.238167,2038.369995,16.79439926,288.8739929,Managed,1,1
2013,23,2,FH,11.19326887,542304.4293,2278490.088,80,22.54928039,18.13,11,1.868134423,3.887085,96.112915,1991.560059,6.904099941,170.2140045,Unmanaged,2,2
2013,11,2,L,2.264468055,542434.0504,2279617.149,18,26.5578462,19.25,5,0.827036873,3.685028,96.314972,2063.540039,1.437999964,295.8919983,Managed,1,1
