"","YEAR","PSP","SITE","LAYER","C_STOCKS","UTMX","UTMY","STAND_AGE","BASAL_AREA","DOM_HEIGHT","SPECIES_RICHNESS","SHANNON_INDEX","GAP_FRACTION","CANOPY_COVER","ELEVATION","SLOPE","ASPECT","CONDITION","LAYER_NUM","CON_NUM"
"31","2018",41,2,"FH",3.809028759,541933,2278762,85,24.88697051,21.41,10,1.733205107,11.81,13.2723,2038.579956,15.40030003,89.4489975,"Unmanaged","2","2"
"32","2018",12,4,"L",2.315269464,542625.9192,2279557.868,20,36.03261475,19.76,7,0.968578235,12.05,70.927299,2067.310059,4.919300079,207.503006,"Managed","1","1"
"33","2018",21,2,"FH",0,543298.5617,2279494.387,20,23.57680856,21.15,5,1.007426456,13.7625,71.527802,1989.420044,15.71539974,300.7630005,"Managed","2","1"
"34","2018",13,1,"FH",6.902393876,541914.8537,2279318.375,24,20.88924281,23.84,5,1.132578803,14.6575,78.061203,2019.089966,5.627900124,248.1380005,"Managed","2","1"
"35","2018",2,1,"L",1.914486725,542296.9318,2280451.263,27,22.96743384,25.69,6,1.485902278,13.965,56.4202,2016.709961,14.53429985,251.1900024,"Managed","1","1"
"36","2018",23,2,"L",1.166193829,542304.4293,2278490.088,85,27.40678307,20.24,12,1.762472396,10.4025,65.495201,1991.560059,6.904099941,170.2140045,"Unmanaged","1","2"
"37","2018",28,1,"L",1.17504,541280,2279785,32,44.25079337,27.79,8,1.461813507,12.0625,59.362499,2085.600098,10.70250034,211.5359955,"Managed","1","1"
"38","2018",31,2,"L",1.640183723,542305.1667,2279730.697,25,24.89557062,21.74,5,1.084417173,10.625,67.760597,2055.459961,5.178599834,248.2100067,"Managed","1","1"
"39","2018",8,4,"FH",5.528055998,542631.1271,2279807.222,20,31.59376032,18.72,9,1.879552218,12.455,74.545502,2063.320068,3.601099968,318.144989,"Managed","2","1"
"40","2018",39,2,"L",1.4328416,541983,2279747,12,9.612291772,11.81,5,1.243030903,21.7525,1.4228,2063.149902,11.10359955,85.41929626,"Managed","1","1"
"41","2018",33,2,"FH",2.887627525,542090.8991,2279253.737,21,38.40877976,21.25,5,0.89284366,10.8175,67.887299,2051.219971,8.651399612,268.473999,"Managed","2","1"
"42","2018",36,1,"FH",1.616922663,542515,2278749,17,19.41099387,16.04,6,0.969716472,10.11,36.956501,2008.75,9.727999687,85.11470032,"Managed","2","1"
"43","2018",18,4,"FH",5.111367386,542129.5111,2279062.262,19,31.04563094,18.91,6,1.055860554,10.2875,64.8536,2049.080078,6.019299984,183.4909973,"Managed","2","1"
"44","2018",39,1,"L",1.57870364,541978,2279702,12,22.49072071,14.69,6,1.193699251,14.52,9.5032,2059.320068,10.0649004,137.3470001,"Managed","1","1"
"45","2018",33,3,"FH",10.01418177,542124.5322,2279179.007,21,38.38676721,19.65,7,1.107044101,10.605,60.769199,2055.199951,1.824499965,67.7990036,"Managed","2","1"
"46","2018",11,3,"L",2.455860234,542462.3496,2279550.707,23,37.00951262,22.7,9,1.492683129,11.0725,77.551003,2064.379883,2.051500082,277.0859985,"Managed","1","1"
"47","2018",24,3,"FH",7.520261677,543292.8958,2278407.587,23,26.54141174,17.09,13,1.869069352,12.085,50,1941.420044,25.11709976,126.3040009,"Managed","2","1"
"48","2018",3,1,"FH",5.012369916,543295.194,2280445.815,22,25.74934555,23.63,5,0.94634734,14.8675,54.9091,2062.47998,0.69749999,209.0319977,"Managed","2","1"
"49","2018",27,2,"FH",3.255466492,541708,2280230,33,48.27764854,27.89,14,1.940392857,10.2575,82.319702,2086.26001,2.898200035,245.7709961,"Managed","2","1"
"50","2018",18,1,"FH",3.375489338,542171.9902,2279075.98,19,28.7106579,20.47,9,1.307317122,10.3275,60.133598,2048.780029,5.495800018,106.737999,"Managed","2","1"
"51","2018",32,1,"L",1.501452487,542490,2279191,22,63.38926978,20.06,4,0.93052,9.4425,62.357399,2026.51001,7.222300053,272.1419983,"Managed","1","1"
"52","2018",40,3,"L",1.59408388,541477.9141,2279519.609,10,25.92332302,10.88,4,0.375288034,9.8075,5.3079,2070.790039,8.039099693,190.345993,"Managed","1","1"
"53","2018",21,1,"L",2.10912,543290.5503,2279448.992,20,33.59299919,21.45,8,1.515541307,13.5825,64.8256,1991.839966,29.57799912,298.4949951,"Managed","1","1"
"54","2018",18,4,"L",1.909685082,542129.5111,2279062.262,19,31.04563094,18.91,6,1.055860554,10.2875,64.8536,2049.080078,6.019299984,183.4909973,"Managed","1","1"
"55","2018",27,1,"L",1.693631615,541708,2280185,33,37.7455328,25.88,9,0.537139676,10.48,78.582199,2086.469971,4.26789999,286.223999,"Managed","1","1"
"56","2018",36,3,"L",1.715759807,542554,2278726,17,28.95849422,16.06,4,0.726329078,10.59,43.3526,2001.900024,11.38759995,97.0707016,"Managed","1","1"
"57","2018",14,2,"FH",6.08877136,542176.3857,2279361.521,24,24.84803439,24.61,4,1.072739646,13.69,75.949402,2052.560059,8.315299988,305.0490112,"Managed","2","1"
"58","2018",32,2,"FH",3.630590324,542491,2279236,22,25.73948094,18.44,6,1.132266947,10.25,62.081799,2027.810059,8.164600372,248.6549988,"Managed","2","1"
"59","2018",28,4,"L",1.60072,541242,2279766,32,30.2593492,26.61,10,1.970709161,12.0425,70.473503,2079.01001,7.851500034,206.4060059,"Managed","1","1"
"60","2018",2,3,"FH",2.99976642,542338.3535,2280428.015,27,20.85275321,22.23,5,1.415369135,19.07,54.325298,2020.329956,9.30850029,325.0289917,"Managed","2","1"
"61","2018",2,3,"L",3.039342502,542338.3535,2280428.015,27,20.85275321,22.23,5,1.415369135,19.07,54.325298,2020.329956,9.30850029,325.0289917,"Managed","1","1"
"62","2018",38,4,"FH",3.184517608,541200,2279243,13,20.5069424,13.88,2,0.10296666,13.0375,24.489799,2057.469971,4.117300034,208.3029938,"Managed","2","1"
"63","2018",24,2,"FH",6.050788763,543300.692,2278496.697,85,37.15563595,16.19,9,1.385146484,14.8175,57.021301,1952.810059,21.46859932,78.32769775,"Unmanaged","2","2"
"64","2018",26,1,"FH",4.483905415,541414,2280251,35,47.05330214,27.35,13,1.869791439,11.05,80.322601,2083.620117,3.347899914,334.9639893,"Managed","2","1"
"65","2018",28,3,"FH",4.502827324,541316,2279760,32,32.0898178,24.36,6,1.197345796,10.765,72.101402,2085.909912,8.045800209,217.2299957,"Managed","2","1"
"66","2018",23,1,"FH",2.66959797,542297.5534,2278447.684,85,37.11036953,24.87,7,1.595634584,10.6225,64.719101,1988.300049,4.378900051,150.8769989,"Unmanaged","2","2"
"67","2018",4,2,"FH",5.170730132,541301.2313,2279491.618,7,11.51741246,12.88,7,1.647435439,16.1475,0,2065.310059,2.971899986,185.6950073,"Managed","2","1"
"68","2018",9,2,"FH",2.822422213,541929.2275,2279615.561,12,22.57807662,13.05,5,0.747893062,13.78,14.3149,2055.469971,10.71549988,139.4109955,"Managed","2","1"
"69","2018",40,2,"FH",3.347104373,541443.0095,2279590.229,10,27.54996116,11.99,1,0,9.3175,13.2723,2078.709961,9.78069973,200.7449951,"Managed","2","1"
"70","2018",7,4,"FH",3.363280849,542369.6994,2279808.891,25,33.79737158,26.74,5,1.177376203,12.8925,70.987701,2054.52002,4.918499947,7.941599846,"Managed","2","1"
"71","2018",9,4,"L",2.991069333,541879.1584,2279553.572,5,4.484073734,5.68,4,0.69209787,30.0325,0,2048.959961,12.09599972,164.6889954,"Managed","1","1"
"72","2018",13,2,"L",2.08905894,541931.7289,2279362.464,24,33.2331219,23.46,11,1.763079375,21.69,75.221199,2020.839966,8.326899529,303.3120117,"Managed","1","1"
"73","2018",7,3,"FH",5.843311252,542450.4659,2279802.563,85,24.44699046,18.13,11,2.101910343,17.515,69.346703,2054.620117,4.390399933,314.2139893,"Unmanaged","2","2"
"74","2018",17,4,"FH",3.61243493,541875.6091,2279049.902,85,44.64752939,23.82,6,1.635680827,11.7575,64.285698,2026.819946,23.27280045,43.98920059,"Unmanaged","2","2"
"75","2018",39,2,"FH",0,541983,2279747,12,9.612291772,11.81,5,1.243030903,21.7525,1.4228,2063.149902,11.10359955,85.41929626,"Managed","2","1"
"76","2018",9,3,"FH",6.258522084,541957.5235,2279549.56,5,5.5978076,6.51,5,0.672994747,33.6775,0,2038.5,16.25469971,141.951004,"Managed","2","1"
"77","2018",2,2,"L",1.82308,542301.6097,2280497.313,26,34.38907092,25.22,4,1.319898938,13.035,56.4202,2011.969971,12.0941,342.5559998,"Managed","1","1"
"78","2018",36,2,"FH",2.419320528,542520,2278796,17,26.03911034,17.38,4,0.660766134,13.245,43.006302,2006.439941,12.63899994,69.80020142,"Managed","2","1"
"79","2018",40,1,"FH",2.7255684,541437.3336,2279544.103,10,24.09375763,12.26,5,0.438078171,11.0525,10.2506,2072.610107,6.476200104,196.197998,"Managed","2","1"
"80","2018",5,2,"L",2.412666667,541923.85,2279870.13,6,8.493217199,7.47,5,1.043680196,17.06,1.1142,2070.97998,17.68090057,145.503006,"Managed","1","1"
"81","2018",11,2,"FH",6.611690939,542434.0504,2279617.149,23,28.97867896,22.56,4,0.892923158,13.555,92.265198,2063.540039,1.437999964,295.8919983,"Managed","2","1"
"82","2018",14,1,"FH",6.65297875,542170.9654,2279320.449,24,24.98855391,23.48,7,1.575253875,13.5275,84.426201,2053.27002,1.983199954,244.3930054,"Managed","2","1"
"83","2018",5,4,"FH",2.81848,541881.534,2279815.093,6,6.007746171,6.48,3,0.540989472,19.0975,0,2077.919922,6.505000114,103.0930023,"Managed","2","1"
"84","2018",3,3,"L",1.30848,543332.7603,2280423.223,22,30.96862265,22.88,4,0.997651338,12.1275,71.147499,2065.100098,3.419699907,287.1319885,"Managed","1","1"
"85","2018",29,3,"FH",5.512841867,542087,2280316,31,37.88263976,26.87,6,1.200968407,10.7825,44.5471,2037.849976,13.15569973,58.92179871,"Managed","2","1"
"86","2018",7,2,"FH",2.401406734,542404.9741,2279869.405,25,18.44768732,21.9,4,1.117732744,21.4275,83.497101,2050.5,4.041699886,29.13339996,"Managed","2","1"
"87","2018",24,4,"FH",4.162813693,543250.7318,2278433.487,23,29.92797008,21.78,9,1.89997195,14.0175,68.0905,1958,3.878299952,109.0970001,"Managed","2","1"
"88","2018",34,2,"L",1.277768097,542387,2279009,20,32.05910657,19.86,10,1.25178212,9.9875,69.488503,2011.599976,16.61149979,134.3099976,"Managed","1","1"
"89","2018",1,4,"L",2.325570315,541247.9859,2280434.179,34,30.10354584,25.57,11,2.083156799,11.065,40.1003,2082.370117,4.873000145,139.2380066,"Managed","1","1"
"90","2018",37,1,"FH",6.207888759,541634,2279229,14,24.22231553,13.01,4,0.740139855,9.55,35.152802,2028.180054,9.637999535,59.09130096,"Managed","2","1"
"91","2018",35,4,"L",1.960825973,542037.1376,2278999.725,19,26.43824969,19.81,7,1.462822045,11.1775,60.204102,2030.97998,12.22379971,237.4519959,"Managed","1","1"
"92","2018",24,1,"FH",5.328842049,543296.4319,2278451.09,85,32.60787035,21.49,11,1.789009387,17.25,64.856201,1950.079956,26.06780052,139.6399994,"Unmanaged","2","2"
"93","2018",38,2,"L",1.444906667,541239,2279310,13,23.44568634,13.6,7,1.085830622,13.4725,14.0351,2058.050049,4.125400066,101.401001,"Managed","1","1"
"94","2018",11,1,"FH",4.095747796,542424.9741,2279580.051,23,33.25194004,22.13,10,1.634406239,10.6725,68.461502,2063.469971,1.121199965,253.8480072,"Managed","2","1"
"95","2018",30,3,"L",2.419828031,542177,2279873,30,34.29780765,25.25,10,1.773195638,10.9625,44.303799,2055.669922,3.064699888,176.548996,"Managed","1","1"
"96","2018",41,3,"FH",4.77553163,541968,2278692,85,31.2780116,21.81,13,2.114091232,12.84,5.3079,2030.939941,10.24429989,90.69270325,"Unmanaged","2","2"
"97","2018",19,2,"FH",2.286538292,542437.1507,2279127.771,22,35.33891182,25.61,4,0.994308708,10.1475,78.978401,2013.689941,16.40559959,272.6659851,"Managed","2","1"
"98","2018",32,3,"L",1.638905906,542529,2279168,22,27.81848879,20.27,3,0.725420735,11.1825,66.921097,2029.48999,5.213600159,237.7389984,"Managed","1","1"
"99","2018",7,1,"FH",2.945010962,542414.5745,2279821.951,25,27.21802833,25.81,4,1.013637201,21.0375,81.6054,2053.560059,4.227300167,3.143100023,"Managed","2","1"
"100","2018",22,2,"L",0.99632,541296.2575,2278496.015,8,6.036354299,5.93,7,1.505896219,28.5475,0,2033.880005,18.61910057,154.3849945,"Managed","1","1"
"101","2018",31,4,"FH",3.661446074,542261.9134,2279666.031,25,32.76353234,23.41,4,1.100562042,11.3975,85.3591,2046.939941,14.42990017,281.1239929,"Managed","2","1"
"102","2018",29,2,"FH",7.302754245,542053,2280389,31,32.14210568,29.2,7,1.555066831,11.5825,69.438698,2030.569946,15.60910034,43.48630142,"Managed","2","1"
"103","2018",24,2,"L",3.397407266,543300.692,2278496.697,85,37.15563595,16.19,9,1.385146484,14.8175,57.021301,1952.810059,21.46859932,78.32769775,"Unmanaged","1","2"
"104","2018",25,1,"L",1.819,541745,2278549,36,14.8142155,14.66,5,1.407806896,23.6375,71.045601,2039.72998,21.96769905,273.8630066,"Managed","1","1"
"105","2018",23,1,"L",2.075538586,542297.5534,2278447.684,85,37.11036953,24.87,7,1.595634584,10.6225,64.719101,1988.300049,4.378900051,150.8769989,"Unmanaged","1","2"
"106","2018",30,2,"FH",4.0867592,542146,2279941,30,38.09542376,25.09,7,1.422114665,10.4725,73.684196,2054.100098,8.336000443,73.92350006,"Managed","2","1"
"107","2018",21,3,"FH",3.464273569,543329.6984,2279419.875,20,21.05950927,20.71,6,1.152433425,15.3375,64.772697,2005.569946,11.02639961,290.1579895,"Managed","2","1"
"108","2018",14,1,"L",2.186695173,542170.9654,2279320.449,24,24.98855391,23.48,7,1.575253875,13.5275,84.426201,2053.27002,1.983199954,244.3930054,"Managed","1","1"
"109","2018",10,4,"FH",4.870461193,542126.9331,2279554.739,24,33.54631905,23.57,7,1.001272598,12.8275,77.2388,2036.51001,14.70049953,296.2600098,"Managed","2","1"
"110","2018",32,3,"FH",4.239657491,542529,2279168,22,27.81848879,20.27,3,0.725420735,11.1825,66.921097,2029.48999,5.213600159,237.7389984,"Managed","2","1"
"111","2018",24,1,"L",2.398873773,543296.4319,2278451.09,85,32.60787035,21.49,11,1.789009387,17.25,64.856201,1950.079956,26.06780052,139.6399994,"Unmanaged","1","2"
"112","2018",33,1,"FH",3.039972301,542086.5368,2279206.138,21,29.46654473,20.49,6,0.85138577,9.835,69.133202,2054.209961,2.330800056,329.4660034,"Managed","2","1"
"113","2018",7,4,"L",2.104405192,542369.6994,2279808.891,25,33.79737158,26.74,5,1.177376203,12.8925,70.987701,2054.52002,4.918499947,7.941599846,"Managed","1","1"
"114","2018",17,2,"FH",5.708829113,541931.8137,2279117.439,19,31.29305099,22.71,6,1.409315311,11.9225,59.25,2019.650024,11.77089977,287.605011,"Managed","2","1"
"115","2018",19,4,"FH",6.966130643,542377.0004,2279055.464,20,34.63175895,19.73,10,1.306887565,9.195,71.459198,2017.650024,9.107000351,131.6909943,"Managed","2","1"
"116","2018",30,3,"FH",5.177439216,542177,2279873,30,34.29780765,25.25,10,1.773195638,10.9625,44.303799,2055.669922,3.064699888,176.548996,"Managed","2","1"
"117","2018",39,4,"L",1.2861928,541939,2279680,12,22.53729482,13.3,5,1.109179737,12.7025,11.3433,2062.689941,10.66670036,117.1460037,"Managed","1","1"
"118","2018",28,2,"L",1.52524,541282,2279830,32,32.14126137,28.36,7,1.617250423,11.1375,67.155403,2091.870117,4.614099979,209.1860046,"Managed","1","1"
"119","2018",6,2,"L",2.386539277,542171.788,2279869.487,30,34.29780765,25.25,10,1.773195638,10.9625,74.094704,2055.459961,3.346800089,189.7100067,"Managed","1","1"
"120","2018",37,3,"L",1.528092438,541670,2279206,14,25.07093039,13.66,5,0.590313138,12.18,25.8216,2025.890015,2.892499924,103.6669998,"Managed","1","1"
"121","2018",39,4,"FH",3.790979733,541939,2279680,12,22.53729482,13.3,5,1.109179737,12.7025,11.3433,2062.689941,10.66670036,117.1460037,"Managed","2","1"
"122","2018",40,2,"L",1.41831544,541443.0095,2279590.229,10,27.54996116,11.99,1,0,9.3175,13.2723,2078.709961,9.78069973,200.7449951,"Managed","1","1"
"123","2018",22,3,"L",1.73056,541327.0763,2278420.724,21,26.17410065,21.46,7,1.55917818,10.96,54.227402,2014.160034,27.39229965,251.8619995,"Managed","1","1"
"124","2018",10,4,"L",1.864259875,542126.9331,2279554.739,24,33.54631905,23.57,7,1.001272598,12.8275,77.2388,2036.51001,14.70049953,296.2600098,"Managed","1","1"
"125","2018",24,4,"L",2.613446763,543250.7318,2278433.487,23,29.92797008,21.78,9,1.89997195,14.0175,68.0905,1958,3.878299952,109.0970001,"Managed","1","1"
"126","2018",26,4,"L",2.712910036,541370,2280241,35,39.48010035,24.34,12,2.138801751,11.1125,77.184502,2083.51001,5.567299843,3.02940011,"Managed","1","1"
"127","2018",13,3,"L",3.091308683,541957.6316,2279295.351,24,24.98879738,22.64,5,0.986897646,12.305,78.556702,2025.099976,14.27799988,284.5400085,"Managed","1","1"
"128","2018",25,3,"FH",8.459784481,541782,2278522,36,20.70623718,16.42,7,1.472756715,19.0575,74.509804,2043.130005,4.426000118,115.1220016,"Managed","2","1"
"129","2018",1,4,"FH",7.188986708,541247.9859,2280434.179,34,30.10354584,25.57,11,2.083156799,11.065,40.1003,2082.370117,4.873000145,139.2380066,"Managed","2","1"
"130","2018",22,4,"L",4.001152594,541256.9193,2278432.505,21,20.09176129,14.04,7,1.5952735,20.42,34.016399,2026.77002,18.3743,218.8939972,"Managed","1","1"
"131","2018",21,4,"FH",4.223291053,543250.9979,2279432.401,20,25.74953404,21.15,9,1.583474086,15.2875,55.244801,1983.27002,28.09420013,258.4500122,"Managed","2","1"
"132","2018",30,4,"L",2.015391733,542094,2279894,30,34.72579075,26.82,7,1.61684134,10.0675,56.947201,2059.840088,5.53550005,72.31359863,"Managed","1","1"
"133","2018",8,1,"FH",3.341541823,542666.3953,2279828.559,20,27.42996017,22.44,6,0.822669812,14.0175,65.697701,2063.570068,1.925400019,333.6579895,"Managed","2","1"
"134","2018",14,4,"L",2.82169128,542130.4734,2279304.079,24,26.65584425,22.72,7,1.240907422,12.9575,83.599098,2051.719971,5.463600159,317.3169861,"Managed","1","1"
"135","2018",34,2,"FH",2.55300143,542387,2279009,20,32.05910657,19.86,10,1.25178212,9.9875,69.488503,2011.599976,16.61149979,134.3099976,"Managed","2","1"
"136","2018",15,4,"FH",5.032367898,542380.7608,2279301.936,23,30.59958368,19.57,8,1.356219274,9.9675,64.0625,2039.449951,10.0642004,96.49639893,"Managed","2","1"
"137","2018",8,3,"L",2.089392531,542706.9866,2279804.867,20,38.12393371,21.43,7,1.069721762,11.4325,84.533897,2065.580078,1.171599984,161.4140015,"Managed","1","1"
"138","2018",16,4,"L",1.20292,542627.491,2279305.654,9,15.01147218,15.69,9,1.704452502,10.74,32.777802,2022.579956,17.32559967,24.35560036,"Managed","1","1"
"139","2018",3,3,"FH",0,543332.7603,2280423.223,22,30.96862265,22.88,4,0.997651338,12.1275,71.147499,2065.100098,3.419699907,287.1319885,"Managed","2","1"
"140","2018",41,4,"L",1.80132,541889,2278701,85,31.09253884,21.23,6,1.430938653,14.215,4.2079,2042.060059,6.487800121,98.84860229,"Unmanaged","1","2"
"141","2018",31,1,"FH",3.846860263,542296.5836,2279690.711,25,29.25037567,24.8,5,0.739088973,12.1375,73.352402,2052.419922,9.489700317,257.5589905,"Managed","2","1"
"142","2018",4,3,"FH",2.265478417,541334.346,2279424.938,7,12.54070773,7.06,6,0.978247801,13.45,0.4255,2061.909912,1.826699972,153.3959961,"Managed","2","1"
"143","2018",26,2,"L",1.770773333,541416,2280298,35,40.76514919,27.58,11,1.927490249,10.895,77.083298,2078.610107,11.91569996,336.3590088,"Managed","1","1"
"144","2018",39,3,"FH",0,542014,2279672,12,19.49580117,13.29,5,1.103150944,15.615,3.2967,2049.370117,16.3239994,129.5339966,"Managed","2","1"
"145","2018",25,3,"L",1.667277532,541782,2278522,36,20.70623718,16.42,7,1.472756715,19.0575,74.509804,2043.130005,4.426000118,115.1220016,"Managed","1","1"
"146","2018",19,3,"FH",5.834554169,542460.1606,2279051.688,20,31.99507914,19.29,7,1.120691115,9.8475,64.2229,2015.449951,12.1967001,244.6900024,"Managed","2","1"
"147","2018",36,2,"L",1.053173333,542520,2278796,17,26.03911034,17.38,4,0.660766134,13.245,43.006302,2006.439941,12.63899994,69.80020142,"Managed","1","1"
"148","2018",29,4,"FH",2.783808967,542008,2280320,31,33.74264896,27.14,6,1.536082595,10.5025,63.128502,2047.040039,14.00819969,38.46580124,"Managed","2","1"
"149","2018",18,3,"FH",6.570087023,542206.5552,2279045.742,19,33.79324824,20.29,7,1.053485219,10.5775,63.943199,2043.23999,9.595899582,95.79329681,"Managed","2","1"
"150","2018",23,2,"FH",3.562559056,542304.4293,2278490.088,85,27.40678307,20.24,12,1.762472396,10.4025,65.495201,1991.560059,6.904099941,170.2140045,"Unmanaged","2","2"
"151","2018",1,1,"FH",4.072185669,541295.8786,2280448.462,34,39.82378274,28.16,13,1.885399352,10.7275,83.854202,2081.139893,4.063799858,153.576004,"Managed","2","1"
