"","YEAR","PSP","SITE","LAYER","C_STOCKS","UTMX","UTMY","STAND_AGE","BASAL_AREA","DOM_HEIGHT","SPECIES_RICHNESS","SHANNON_INDEX","GAP_FRACTION","CANOPY_COVER","ELEVATION","SLOPE","ASPECT","CONDITION","LAYER_NUM","CON_NUM"
"1","2023",13,1,"FH",7.25184156,541914.8537,2279318.375,29,23.67792858,26.68,4,1.02362368,13.38,86.62,2019.089966,5.627900124,248.1380005,"Managed","2","1"
"2","2023",6,1,"L",4.235029495,542175.9553,2279827.775,35,17.66364004,23.4,8,1.39630253,22.6975,77.3025,2051.22998,7.194600105,187.6909943,"Managed","1","1"
"3","2023",22,3,"L",3.848116129,541327.0763,2278420.724,26,23.00778759,21.09,7,1.63680301,14.775,85.225,2014.160034,27.39229965,251.8619995,"Managed","1","1"
"4","2023",11,1,"L",2.386159636,542424.9741,2279580.051,28,22.79111195,24,7,1.52855531,13.86,86.14,2063.469971,1.121199965,253.8480072,"Managed","1","1"
"5","2023",39,4,"L",2.696581617,541939,2279680,17,26.40031496,15.52,5,1.20443922,16.4875,83.5125,2062.689941,10.66670036,117.1460037,"Managed","1","1"
"6","2023",11,4,"FH",5.32122346,542375.2128,2279562.33,28,28.43477109,24.28,7,1.33752645,13.0225,86.9775,2061.810059,0.981599987,145.4490051,"Managed","2","1"
"7","2023",40,3,"FH",7.428175597,541477.9141,2279519.609,15,31.63326584,13.7,4,0.41571851,16.6325,83.3675,2070.790039,8.039099693,190.345993,"Managed","2","1"
"8","2023",6,4,"L",2.367675373,542134.5344,2279808.305,17,22.44964439,17.38,7,1.69166121,15.195,84.805,2049.070068,9.744999886,165.947998,"Managed","1","1"
"9","2023",38,2,"L",2.140961785,541239,2279310,18,20.23621565,16.36,4,0.71977206,17.07,82.93,2058.050049,4.125400066,101.401001,"Managed","1","1"
"10","2023",18,1,"L",3.385769239,542171.9902,2279075.98,24,24.9663075,21.74,9,1.49710797,12.4925,87.5075,2048.780029,5.495800018,106.737999,"Managed","1","1"
"11","2023",9,4,"FH",4.674379744,541879.1584,2279553.572,10,2.710860666,8.44,4,1.15534654,14.22,85.78,2048.959961,12.09599972,164.6889954,"Managed","2","1"
"12","2023",31,1,"L",1.831187309,542296.5836,2279690.711,30,31.83673894,26.66,6,0.92606389,16.07,83.93,2052.419922,9.489700317,257.5589905,"Managed","1","1"
"13","2023",14,4,"FH",4.796486739,542130.4734,2279304.079,29,30.97792962,24.63,6,1.18433367,13.665,86.335,2051.719971,5.463600159,317.3169861,"Managed","2","1"
"14","2023",9,4,"L",1.278475521,541879.1584,2279553.572,10,2.710860666,8.44,4,1.15534654,14.22,85.78,2048.959961,12.09599972,164.6889954,"Managed","1","1"
"15","2023",37,3,"FH",12.80428796,541670,2279206,19,31.54600811,16.6,6,0.88181491,12.7225,87.2775,2025.890015,2.892499924,103.6669998,"Managed","2","1"
"16","2023",23,4,"L",1.536506236,542255.8178,2278427.77,90,34.60544811,21.01,9,1.76907677,12.42,87.58,1987.27002,5.452300072,173.7669983,"Unmanaged","1","2"
"17","2023",9,3,"FH",3.136404176,541957.5235,2279549.56,10,15.24986015,10.95,5,0.94858712,10.23,89.77,2038.5,16.25469971,141.951004,"Managed","2","1"
"18","2023",24,2,"FH",5.48620842,543300.692,2278496.697,90,37.37503693,17.92,9,1.6061473,25.5375,74.4625,1952.810059,21.46859932,78.32769775,"Unmanaged","2","2"
"19","2023",23,4,"FH",2.981371038,542255.8178,2278427.77,90,34.60544811,21.01,9,1.76907677,12.42,87.58,1987.27002,5.452300072,173.7669983,"Unmanaged","2","2"
"20","2023",5,2,"FH",5.779064556,541923.85,2279870.13,11,12.83676357,10.87,4,0.89995142,13.1375,86.8625,2070.97998,17.68090057,145.503006,"Managed","2","1"
"21","2023",34,1,"FH",5.347959315,542381,2278960,25,30.44780549,20.07,8,1.40325199,13.315,86.685,2015.550049,7.591199875,356.928009,"Managed","2","1"
"22","2023",3,4,"FH",5.952418172,543252.1848,2280437.405,27,24.78516327,23.52,6,1.13679242,13.15,86.85,2063.560059,2.002300024,156.6750031,"Managed","2","1"
"23","2023",31,4,"L",1.572342288,542261.9134,2279666.031,30,37.42239644,25.16,6,1.49105263,18.68,81.32,2046.939941,14.42990017,281.1239929,"Managed","1","1"
"24","2023",6,4,"FH",7.397461218,542134.5344,2279808.305,17,22.44964439,17.38,7,1.69166121,15.195,84.805,2049.070068,9.744999886,165.947998,"Managed","2","1"
"25","2023",41,4,"L",1.675330028,541889,2278701,90,31.77925173,21.86,6,1.42201516,19.745,80.255,2042.060059,6.487800121,98.84860229,"Unmanaged","1","2"
"26","2023",13,1,"L",1.865168253,541914.8537,2279318.375,29,23.67792858,26.68,4,1.02362368,13.38,86.62,2019.089966,5.627900124,248.1380005,"Managed","1","1"
"27","2023",30,2,"L",3.032331166,542146,2279941,35,20.93402228,22.36,7,1.69786712,20.8375,79.1625,2054.100098,8.336000443,73.92350006,"Managed","1","1"
"28","2023",25,1,"L",4.095386553,541745,2278549,41,14.05954321,15.82,5,1.47876716,17.0125,82.9875,2039.72998,21.96769905,273.8630066,"Managed","1","1"
"29","2023",31,2,"L",2.400366631,542305.1667,2279730.697,30,28.91900833,23.92,7,1.38314759,13.5025,86.4975,2055.459961,5.178599834,248.2100067,"Managed","1","1"
"30","2023",16,2,"L",2.578770261,542670.2685,2279365.966,90,38.63467814,26.47,12,2.18641984,11.825,88.175,2007.920044,20.39279938,106.2460022,"Unmanaged","1","2"
"31","2023",17,2,"FH",7.40318051,541931.8137,2279117.439,24,33.5068528,24.92,8,1.53438615,11.8875,88.1125,2019.650024,11.77089977,287.605011,"Managed","2","1"
"32","2023",29,3,"FH",5.839893195,542087,2280316,36,30.60203805,26.78,5,1.21053676,12.635,87.365,2037.849976,13.15569973,58.92179871,"Managed","2","1"
"33","2023",36,2,"L",2.026537669,542520,2278796,22,29.5030304,18.95,4,0.7078881,16.1025,83.8975,2006.439941,12.63899994,69.80020142,"Managed","1","1"
"34","2023",10,2,"L",2.524926892,542172.21,2279616.053,29,33.98141,25.07,7,1.3853222,14.29,85.71,2038.369995,16.79439926,288.8739929,"Managed","1","1"
"35","2023",16,2,"FH",4.437514053,542670.2685,2279365.966,90,38.63467814,26.47,12,2.18641984,11.825,88.175,2007.920044,20.39279938,106.2460022,"Unmanaged","2","2"
"36","2023",22,3,"FH",5.238323504,541327.0763,2278420.724,26,23.00778759,21.09,7,1.63680301,14.775,85.225,2014.160034,27.39229965,251.8619995,"Managed","2","1"
"37","2023",15,1,"FH",6.439299582,542423.0351,2279313.884,28,23.61960491,25.03,6,1.31994432,14.5025,85.4975,2030.400024,10.74380016,128.4089966,"Managed","2","1"
"38","2023",12,3,"L",2.136522173,542706.5997,2279544.79,25,32.27314936,19.59,3,0.71173661,13.21,86.79,2063.090088,10.94299984,125.6790009,"Managed","1","1"
"39","2023",29,2,"L",4.005174365,542053,2280389,36,24.39853139,26.88,9,1.92682632,14.545,85.455,2030.569946,15.60910034,43.48630142,"Managed","1","1"
"40","2023",31,4,"FH",2.645348218,542261.9134,2279666.031,30,37.42239644,25.16,6,1.49105263,18.68,81.32,2046.939941,14.42990017,281.1239929,"Managed","2","1"
"41","2023",25,3,"FH",5.407766177,541782,2278522,41,22.02872988,17.32,6,1.42438539,18.98,81.02,2043.130005,4.426000118,115.1220016,"Managed","2","1"
"42","2023",30,3,"L",1.895607156,542177,2279873,35,24.09672251,24.37,5,1.14523845,26.03,73.97,2055.669922,3.064699888,176.548996,"Managed","1","1"
"43","2023",37,1,"FH",6.123329752,541634,2279229,19,30.78511437,17.59,5,1.01383155,12.965,87.035,2028.180054,9.637999535,59.09130096,"Managed","2","1"
"44","2023",21,1,"L",1.429379765,543290.5503,2279448.992,25,17.28738719,22.47,8,1.59428141,14.6875,85.3125,1991.839966,29.57799912,298.4949951,"Managed","1","1"
"45","2023",4,1,"L",0.708679257,541295.3921,2279450.545,12,18.23004956,15.02,7,1.44675392,17.155,82.845,2062.929932,2.724600077,194.9839935,"Managed","1","1"
"46","2023",8,1,"FH",5.307393912,542666.3953,2279828.559,25,25.20506462,23.84,6,1.04177604,13.2375,86.7625,2063.570068,1.925400019,333.6579895,"Managed","2","1"
"47","2023",32,2,"L",2.362972262,542491,2279236,27,19.69974943,19.84,5,1.28471874,17.1,82.9,2027.810059,8.164600372,248.6549988,"Managed","1","1"
"48","2023",25,2,"FH",2.709880193,541753,2278593,41,18.32255375,18.65,5,1.20204456,20.1325,79.8675,2038.939941,4.15019989,283.375,"Managed","2","1"
"49","2023",18,1,"FH",6.064778782,542171.9902,2279075.98,24,24.9663075,21.74,9,1.49710797,12.4925,87.5075,2048.780029,5.495800018,106.737999,"Managed","2","1"
"50","2023",39,2,"L",2.324833637,541983,2279747,17,14.46850679,13.62,5,1.30574857,18.9075,81.0925,2063.149902,11.10359955,85.41929626,"Managed","1","1"
"51","2023",35,1,"L",2.841747522,542080.0246,2279017.096,24,26.96372603,16.4,7,1.43711157,19.9625,80.0375,2041.349976,9.18200016,243.1869965,"Managed","1","1"
