YEAR,PSP,SITE,LAYER,C_STOCKS,UTMX,UTMY,STAND_AGE,BASAL_AREA,DOM_HEIGHT,SPECIES_RICHNESS,SHANNON_INDEX,GAP_FRACTION,CANOPY_COVER,ELEVATION,SLOPE,ASPECT,CONDITION,LAYER_NUM,CON_NUM
2013,4,4,FH,5.190182595,541251.7775,2279432.621,8,19.4332442,9.12,2,0.036434416,15.460808,84.539192,2061.75,2.394999981,174.7749939,Managed,2,1
2013,5,1,L,0.748140549,541927.22,2279830.47,1,1.757163457,33,1,0,99.821683,0.178317,2068.51001,13.89039993,79.11380005,Managed,1,1
2013,5,1,FH,14.91674764,541927.22,2279830.47,1,1.757163457,33,1,0,99.821683,0.178317,2068.51001,13.89039993,79.11380005,Managed,2,1
2013,5,2,L,0.713245965,541923.85,2279870.13,1,0.608212338,15.25,1,0,92.482653,7.517347,2070.97998,17.68090057,145.503006,Managed,1,1
2013,5,2,FH,10.15393511,541923.85,2279870.13,1,0.608212338,15.25,1,0,92.482653,7.517347,2070.97998,17.68090057,145.503006,Managed,2,1
2013,5,3,L,0.683501456,541958.0283,2279808.752,1,1.757163457,33,1,0,99.58124,0.41876,2060.629883,13.43239975,101.1750031,Managed,1,1
2013,5,3,FH,19.40251111,541958.0283,2279808.752,1,1.757163457,33,1,0,99.58124,0.41876,2060.629883,13.43239975,101.1750031,Managed,2,1
2013,5,4,L,2.285378068,541881.534,2279815.093,1,0.608212338,15.25,1,0,100,0,2077.919922,6.505000114,103.0930023,Managed,1,1
2013,5,4,FH,10.33051481,541881.534,2279815.093,1,0.608212338,15.25,1,0,100,0,2077.919922,6.505000114,103.0930023,Managed,2,1
2013,6,1,L,2.143115828,542175.9553,2279827.775,25,20.70067832,21.15,7,0.728805322,22.804314,77.195686,2051.22998,7.194600105,187.6909943,Managed,1,1
2013,6,1,FH,7.41038463,542175.9553,2279827.775,25,20.70067832,21.15,7,0.728805322,22.804314,77.195686,2051.22998,7.194600105,187.6909943,Managed,2,1
2013,6,2,L,3.087265527,542171.788,2279869.487,25,33.48160225,23.05,4,0.65759895,20.761559,79.238441,2055.459961,3.346800089,189.7100067,Managed,1,1
2013,6,2,FH,20.44132776,542171.788,2279869.487,25,33.48160225,23.05,4,0.65759895,20.761559,79.238441,2055.459961,3.346800089,189.7100067,Managed,2,1
2013,6,3,L,2.016664557,542213.9402,2279804.407,20,37.05848498,21.85,4,0.898968699,2.456024,97.543976,2053.27002,11.64710045,220.4799957,Managed,1,1
2013,6,3,FH,11.26058585,542213.9402,2279804.407,20,37.05848498,21.85,4,0.898968699,2.456024,97.543976,2053.27002,11.64710045,220.4799957,Managed,2,1
2013,6,4,L,1.755839227,542134.5344,2279808.305,7,8.874568615,21.74,3,0.803742107,30.187698,69.812302,2049.070068,9.744999886,165.947998,Managed,1,1
2013,6,4,FH,5.669841989,542134.5344,2279808.305,7,8.874568615,21.74,3,0.803742107,30.187698,69.812302,2049.070068,9.744999886,165.947998,Managed,2,1
2013,7,1,L,1.96229397,542414.5745,2279821.951,20,37.00101988,21.84,8,1.382330724,11.945229,88.054771,2053.560059,4.227300167,3.143100023,Managed,1,1
2013,7,1,FH,6.773055276,542414.5745,2279821.951,20,37.00101988,21.84,8,1.382330724,11.945229,88.054771,2053.560059,4.227300167,3.143100023,Managed,2,1
2013,7,2,L,1.562509654,542404.9741,2279869.405,20,25.04696963,20.81,5,1.391932233,5.402931,94.597069,2050.5,4.041699886,29.13339996,Managed,1,1
2013,7,2,FH,9.070689953,542404.9741,2279869.405,20,25.04696963,20.81,5,1.391932233,5.402931,94.597069,2050.5,4.041699886,29.13339996,Managed,2,1
2013,7,3,L,1.888894601,542450.4659,2279802.563,80,21.82807249,16.0765508,8,1.648400914,7.250969,92.749031,2054.620117,4.390399933,314.2139893,Unmanaged,1,2
2013,7,3,FH,14.29544858,542450.4659,2279802.563,80,21.82807249,16.0765508,8,1.648400914,7.250969,92.749031,2054.620117,4.390399933,314.2139893,Unmanaged,2,2
2013,7,4,L,1.921490821,542369.6994,2279808.891,20,42.04677935,21.33,6,1.130990229,2.578667,97.421333,2054.52002,4.918499947,7.941599846,Managed,1,1
2013,7,4,FH,16.73712586,542369.6994,2279808.891,20,42.04677935,21.33,6,1.130990229,2.578667,97.421333,2054.52002,4.918499947,7.941599846,Managed,2,1
2013,8,1,L,1.831523883,542666.3953,2279828.559,15,37.28686381,18.74,4,0.366289089,7.768364,92.231636,2063.570068,1.925400019,333.6579895,Managed,1,1
2013,8,1,FH,12.77215443,542666.3953,2279828.559,15,37.28686381,18.74,4,0.366289089,7.768364,92.231636,2063.570068,1.925400019,333.6579895,Managed,2,1
2013,8,2,L,1.992707513,542675.9772,2279871.524,80,19.91172137,16.90964286,7,1.078050564,10.190514,89.809486,2062.850098,1.511800051,327.427002,Unmanaged,1,2
2013,8,2,FH,14.28367684,542675.9772,2279871.524,80,19.91172137,16.90964286,7,1.078050564,10.190514,89.809486,2062.850098,1.511800051,327.427002,Unmanaged,2,2
2013,8,3,L,1.784822578,542706.9866,2279804.867,15,38.07700172,18.5,5,0.589675966,5.139252,94.860748,2065.580078,1.171599984,161.4140015,Managed,1,1
2013,8,3,FH,8.47042436,542706.9866,2279804.867,15,38.07700172,18.5,5,0.589675966,5.139252,94.860748,2065.580078,1.171599984,161.4140015,Managed,2,1
2013,8,4,L,1.523927989,542631.1271,2279807.222,15,34.43335045,16.785,7,1.436145537,2.231239,97.768761,2063.320068,3.601099968,318.144989,Managed,1,1
2013,8,4,FH,7.479242074,542631.1271,2279807.222,15,34.43335045,16.785,7,1.436145537,2.231239,97.768761,2063.320068,3.601099968,318.144989,Managed,2,1
2013,9,1,L,0.447042936,541919.7485,2279572.265,0,18.7338275,29.13,12,2.151885788,27.282768,72.717232,2048.959961,14.66790009,142.8739929,Managed,1,1
2013,9,1,FH,9.06653187,541919.7485,2279572.265,0,18.7338275,29.13,12,2.151885788,27.282768,72.717232,2048.959961,14.66790009,142.8739929,Managed,2,1
2013,9,2,L,1.102809553,541929.2275,2279615.561,7,5.867781669,6.775,1,0,69.093767,30.906233,2055.469971,10.71549988,139.4109955,Managed,1,1
2013,9,2,FH,3.129653546,541929.2275,2279615.561,7,5.867781669,6.775,1,0,69.093767,30.906233,2055.469971,10.71549988,139.4109955,Managed,2,1
2013,9,3,L,3.202428698,541957.5235,2279549.56,0,3.110255267,22.5,1,0,99.827705,0.172295,2038.5,16.25469971,141.951004,Managed,1,1
2013,9,3,FH,11.58178627,541957.5235,2279549.56,0,3.110255267,22.5,1,0,99.827705,0.172295,2038.5,16.25469971,141.951004,Managed,2,1
2013,9,4,L,1.370539467,541879.1584,2279553.572,0,5.867781669,22.5,1,0,93.617772,6.382228,2048.959961,12.09599972,164.6889954,Managed,1,1
2013,9,4,FH,26.25244988,541879.1584,2279553.572,0,3.110255267,22.5,1,0,93.617772,6.382228,2048.959961,12.09599972,164.6889954,Managed,2,1
2013,10,1,L,1.674621432,542171.8052,2279569.349,19,3.110255267,19.92375,4,0.56221069,13.460617,86.539383,2043.800049,11.36480045,307.79599,Managed,1,1
2013,10,1,FH,11.34115061,542171.8052,2279569.349,19,31.84708657,19.92375,4,0.56221069,13.460617,86.539383,2043.800049,11.36480045,307.79599,Managed,2,1
2013,10,2,L,1.535269636,542172.21,2279616.053,19,35.41562559,20.73,2,0.104732439,7.761833,92.238167,2038.369995,16.79439926,288.8739929,Managed,1,1
2013,10,2,FH,7.887316334,542172.21,2279616.053,19,35.41562559,20.73,2,0.104732439,7.761833,92.238167,2038.369995,16.79439926,288.8739929,Managed,2,1
2013,10,3,L,1.892269651,542209.6988,2279541.001,19,33.16394957,20.31,5,0.875306929,8.491508,91.508492,2050.629883,9.098400116,290.7030029,Managed,1,1
2013,10,3,FH,10.77004873,542209.6988,2279541.001,19,33.16394957,20.31,5,0.875306929,8.491508,91.508492,2050.629883,9.098400116,290.7030029,Managed,2,1
2013,10,4,L,1.303934238,542126.9331,2279554.739,19,32.57394843,19.97,3,0.314123026,9.724312,90.275688,2036.51001,14.70049953,296.2600098,Managed,1,1
2013,10,4,FH,11.92967879,542126.9331,2279554.739,19,32.57394843,19.97,3,0.314123026,9.724312,90.275688,2036.51001,14.70049953,296.2600098,Managed,2,1
2013,11,1,L,2.791353541,542424.9741,2279580.051,18,25.6980809,19.494,5,1.312584406,1.951035,98.048965,2063.469971,1.121199965,253.8480072,Managed,1,1
2013,11,1,FH,7.273527255,542424.9741,2279580.051,18,25.6980809,19.494,5,1.312584406,1.951035,98.048965,2063.469971,1.121199965,253.8480072,Managed,2,1
2013,11,2,L,2.264468055,542434.0504,2279617.149,18,26.5578462,19.25,5,0.827036873,3.685028,96.314972,2063.540039,1.437999964,295.8919983,Managed,1,1
2013,11,2,FH,11.69574895,542434.0504,2279617.149,18,26.5578462,19.25,5,0.827036873,3.685028,96.314972,2063.540039,1.437999964,295.8919983,Managed,2,1
2013,11,3,L,2.040548264,542462.3496,2279550.707,18,28.3855456,18.82,4,0.511028751,5.359726,94.640274,2064.379883,2.051500082,277.0859985,Managed,1,1
2013,11,3,FH,10.35737834,542462.3496,2279550.707,18,28.3855456,18.82,4,0.511028751,5.359726,94.640274,2064.379883,2.051500082,277.0859985,Managed,2,1
2013,11,4,L,2.082213661,542375.2128,2279562.33,18,27.33094746,18.25952381,3,0.649543169,8.994164,91.005836,2061.810059,0.981599987,145.4490051,Managed,1,1
2013,11,4,FH,14.39692761,542375.2128,2279562.33,18,27.33094746,18.25952381,3,0.649543169,8.994164,91.005836,2061.810059,0.981599987,145.4490051,Managed,2,1
2013,12,3,L,1.798079848,542706.5997,2279544.79,15,31.35676608,14.3,4,0.521657425,2.478836,97.521164,2063.090088,10.94299984,125.6790009,Managed,1,1
2013,12,3,FH,16.3811185,542706.5997,2279544.79,15,31.35676608,14.3,4,0.521657425,2.478836,97.521164,2063.090088,10.94299984,125.6790009,Managed,2,1
2013,12,4,L,2.621356916,542625.9192,2279557.868,15,33.20970434,14.97328571,5,0.869049355,1.868782,98.131218,2067.310059,4.919300079,207.503006,Managed,1,1
2013,12,4,FH,10.69357817,542625.9192,2279557.868,15,33.20970434,14.97328571,5,0.869049355,1.868782,98.131218,2067.310059,4.919300079,207.503006,Managed,2,1
2013,13,1,L,2.333551985,541914.8537,2279318.375,19,21.23189119,20.35,5,0.891427691,7.888046,92.111954,2019.089966,5.627900124,248.1380005,Managed,1,1
2013,13,1,FH,9.112476009,541914.8537,2279318.375,19,21.23189119,20.35,5,0.891427691,7.888046,92.111954,2019.089966,5.627900124,248.1380005,Managed,2,1
2013,13,2,L,1.641607119,541931.7289,2279362.464,19,23.65750822,19.73,7,0.873464145,19.93399,80.06601,2020.839966,8.326899529,303.3120117,Managed,1,1
2013,13,2,FH,9.462490054,541931.7289,2279362.464,19,23.65750822,19.73,7,0.873464145,19.93399,80.06601,2020.839966,8.326899529,303.3120117,Managed,2,1
2013,13,3,L,1.48370044,541957.6316,2279295.351,19,27.33390924,19.35,4,0.8620111,4.293137,95.706863,2025.099976,14.27799988,284.5400085,Managed,1,1
2013,13,3,FH,7.969953072,541957.6316,2279295.351,19,27.33390924,19.35,4,0.8620111,4.293137,95.706863,2025.099976,14.27799988,284.5400085,Managed,2,1
2013,14,1,L,1.815576596,542170.9654,2279320.449,19,22.41029082,18.22,4,0.945456541,1.964378,98.035622,2053.27002,1.983199954,244.3930054,Managed,1,1
2013,14,1,FH,8.84934676,542170.9654,2279320.449,19,22.41029082,18.22,4,0.945456541,1.964378,98.035622,2053.27002,1.983199954,244.3930054,Managed,2,1
2013,14,2,L,1.564031504,542176.3857,2279361.521,19,29.50036005,20.2,3,0.619920564,3.553101,96.446899,2052.560059,8.315299988,305.0490112,Managed,1,1
